W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM number
0.2,3.36793125037335,2.999999998526893,2.967221620755798,29.406201207184964
0.21000000000000002,3.079602774702588,2.9999841735949544,2.9205034746689584,29.410706934544066
0.22,3.000007907074021,2.9998111347450704,3.0000054772877736,29.442409518307855
0.23,3.000033248277517,2.933849331220726,3.0661135254873857,29.51644842491132
0.24000000000000002,3.0289715921180758,2.970793873103748,3.0000021434015673,29.500125084322523
0.25,3.000018284328577,2.9295674012347446,3.0703351620044304,29.573551631716903
0.26,3.000031360217937,2.9961985249445418,3.0037672399419413,29.575160821993727
0.27,3.0000591721369476,2.9585136397317537,3.0413940106540522,29.647431905029595
0.28,3.000009780452566,2.99966683993562,3.000260579774456,29.69091136021865
0.29000000000000004,3.0000244149757105,2.9933179372246546,3.0064722745568777,29.76329749789617
0.30000000000000004,3.0012523350720226,2.9959150299428754,3.000043124247938,29.840388374345956
0.31,3.0003546874868254,2.999525252180252,3.0000059212012173,29.925205668290932
0.32,3.0000015115398337,2.973229608920686,3.026759392512104,30.017000513248327
0.33,3.000000000089746,2.7124561530650357,3.0042285688230654,30.11112690071372
0.34,3.0000000333246817,2.736831370617334,3.2631670791142966,30.191358231121068
0.35,3.0001420689077163,2.0650536779112367,2.934804111831821,30.20168578557953
0.36,3.0000031296935035,2.00000656401098,2.993206811582855,30.26508458163814
0.37,3.0001884462593633,2.000000015152666,3.121201661717534,30.402243479562085
0.38,3.000000171756173,2.0000000923042833,3.2316960259549328,30.4665046623495
0.39,3.00000002204514,2.000000030140805,3.3466159002035356,30.52961996024719
